"filename", "language", "Handlebars", "JavaScript", "SCSS", "JSON", "CSS", "Ini", "comment", "blank", "total"
"c:\Users\B A T  M A C H I N E\Dropbox\The Alpha Project\Smart_Care_Neutration_v2.0.1\app.js", "JavaScript", 0, 54, 0, 0, 0, 0, 22, 88, 164
"c:\Users\B A T  M A C H I N E\Dropbox\The Alpha Project\Smart_Care_Neutration_v2.0.1\config\database.js", "JavaScript", 0, 3, 0, 0, 0, 0, 1, 1, 5
"c:\Users\B A T  M A C H I N E\Dropbox\The Alpha Project\Smart_Care_Neutration_v2.0.1\config\passport.js", "JavaScript", 0, 29, 0, 0, 0, 0, 22, 12, 63
"c:\Users\B A T  M A C H I N E\Dropbox\The Alpha Project\Smart_Care_Neutration_v2.0.1\desktop.ini", "Ini", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\B A T  M A C H I N E\Dropbox\The Alpha Project\Smart_Care_Neutration_v2.0.1\helpers\authentication.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 3, 11
"c:\Users\B A T  M A C H I N E\Dropbox\The Alpha Project\Smart_Care_Neutration_v2.0.1\helpers\checkout-helper.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 5, 15
"c:\Users\B A T  M A C H I N E\Dropbox\The Alpha Project\Smart_Care_Neutration_v2.0.1\helpers\code-stock.js", "JavaScript", 0, 133, 0, 0, 0, 0, 21, 67, 221
"c:\Users\B A T  M A C H I N E\Dropbox\The Alpha Project\Smart_Care_Neutration_v2.0.1\helpers\handlebars-helpers.js", "JavaScript", 0, 63, 0, 0, 0, 0, 4, 38, 105
"c:\Users\B A T  M A C H I N E\Dropbox\The Alpha Project\Smart_Care_Neutration_v2.0.1\models\Coupon.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 5, 18
"c:\Users\B A T  M A C H I N E\Dropbox\The Alpha Project\Smart_Care_Neutration_v2.0.1\models\Order.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 12, 50
"c:\Users\B A T  M A C H I N E\Dropbox\The Alpha Project\Smart_Care_Neutration_v2.0.1\models\Product.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 5, 19
"c:\Users\B A T  M A C H I N E\Dropbox\The Alpha Project\Smart_Care_Neutration_v2.0.1\models\User.js", "JavaScript", 0, 34, 0, 0, 0, 0, 15, 28, 77
"c:\Users\B A T  M A C H I N E\Dropbox\The Alpha Project\Smart_Care_Neutration_v2.0.1\package-lock.json", "JSON", 0, 0, 0, 2962, 0, 0, 0, 1, 2963
"c:\Users\B A T  M A C H I N E\Dropbox\The Alpha Project\Smart_Care_Neutration_v2.0.1\package.json", "JSON", 0, 0, 0, 40, 0, 0, 0, 1, 41
"c:\Users\B A T  M A C H I N E\Dropbox\The Alpha Project\Smart_Care_Neutration_v2.0.1\public\admin-css\custom.css", "CSS", 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\B A T  M A C H I N E\Dropbox\The Alpha Project\Smart_Care_Neutration_v2.0.1\public\css\bootstrap.css", "CSS", 0, 0, 0, 0, 131, 0, 0, 32, 163
"c:\Users\B A T  M A C H I N E\Dropbox\The Alpha Project\Smart_Care_Neutration_v2.0.1\public\css\style.css", "CSS", 0, 0, 0, 0, 1358, 0, 4, 97, 1459
"c:\Users\B A T  M A C H I N E\Dropbox\The Alpha Project\Smart_Care_Neutration_v2.0.1\public\js\main.js", "JavaScript", 0, 53, 0, 0, 0, 0, 13, 29, 95
"c:\Users\B A T  M A C H I N E\Dropbox\The Alpha Project\Smart_Care_Neutration_v2.0.1\public\sass\_base.scss", "SCSS", 0, 0, 101, 0, 0, 0, 9, 44, 154
"c:\Users\B A T  M A C H I N E\Dropbox\The Alpha Project\Smart_Care_Neutration_v2.0.1\public\sass\_button_typogrphy.scss", "SCSS", 0, 0, 708, 0, 0, 0, 20, 189, 917
"c:\Users\B A T  M A C H I N E\Dropbox\The Alpha Project\Smart_Care_Neutration_v2.0.1\public\sass\_components.scss", "SCSS", 0, 0, 433, 0, 0, 0, 9, 107, 549
"c:\Users\B A T  M A C H I N E\Dropbox\The Alpha Project\Smart_Care_Neutration_v2.0.1\public\sass\_layouts.scss", "SCSS", 0, 0, 315, 0, 0, 0, 13, 95, 423
